subject,run_ordinal,session_id,run_id,run_label,nframes,raw_samples,mri_ttl_rises,bm_mri_onset_sample,coverage_margin_samples,individual_ttl_validated,final_volume_replacement_required,alignment_method,status
2,1,1,1,session01_run01,476,403250,477,39087,2408,1,0,individual MRI TTL edges,ok
2,2,1,2,session01_run02,490,381850,491,6619,2837,1,0,individual MRI TTL edges,ok
2,3,1,3,session01_run03,482,377650,483,7862,3474,1,0,individual MRI TTL edges,ok
2,4,1,4,session01_run04,479,373850,480,6751,3065,1,0,individual MRI TTL edges,ok
2,5,1,5,session01_run05,488,380150,489,6925,2350,1,0,individual MRI TTL edges,ok
2,6,1,6,session01_run06,488,380350,489,6545,2930,1,0,individual MRI TTL edges,ok
2,7,1,7,session01_run07,487,378850,488,6635,2100,1,0,individual MRI TTL edges,ok
2,8,1,8,session01_run08,484,378200,485,6874,3492,1,0,individual MRI TTL edges,ok
2,9,1,9,session01_run09,489,392300,490,17260,3405,1,0,individual MRI TTL edges,ok
2,10,1,10,session01_run10,492,384900,493,7412,3574,1,0,individual MRI TTL edges,ok
2,11,2,1,session02_run01,498,393382,499,12295,2612,1,0,individual MRI TTL edges,ok
2,12,2,2,session02_run02,489,382250,490,8372,2244,1,0,individual MRI TTL edges,ok
2,13,2,3,session02_run03,496,387180,496,7884,2342,1,0,individual MRI TTL edges,ok
2,14,2,4,session02_run04,488,381500,489,7827,2798,1,0,individual MRI TTL edges,ok
2,15,2,5,session02_run05,472,369682,473,8108,2860,1,0,individual MRI TTL edges,ok
2,16,2,6,session02_run06,488,380450,489,7134,2441,1,0,individual MRI TTL edges,ok
2,17,2,7,session02_run07,487,380382,488,7928,2339,1,0,individual MRI TTL edges,ok
2,18,2,8,session02_run08,485,378540,486,7374,2572,1,0,individual MRI TTL edges,ok
2,19,2,9,session02_run09,492,385241,493,8060,3266,1,0,individual MRI TTL edges,ok
2,20,2,10,session02_run10,485,379250,486,8577,2078,1,0,individual MRI TTL edges,ok
2,21,3,1,session03_run01,489,389500,490,14244,3622,1,0,individual MRI TTL edges,ok
2,22,3,2,session03_run02,491,392000,492,16258,2588,1,0,individual MRI TTL edges,ok
2,23,3,3,session03_run03,482,378650,483,8933,3402,1,0,individual MRI TTL edges,ok
2,24,3,4,session03_run04,514,404500,514,6743,7123,1,0,individual MRI TTL edges,ok
2,25,3,5,session03_run05,504,392600,505,7139,2426,1,0,individual MRI TTL edges,ok
2,26,3,6,session03_run06,493,383900,494,6841,2384,1,0,individual MRI TTL edges,ok
2,27,3,7,session03_run07,477,371200,478,6723,1962,1,0,individual MRI TTL edges,ok
2,28,3,8,session03_run08,476,380300,477,13904,4641,1,0,individual MRI TTL edges,ok
2,29,3,9,session03_run09,490,391400,491,16995,2010,1,0,individual MRI TTL edges,ok
2,30,3,10,session03_run10,491,382200,491,7038,2007,1,0,individual MRI TTL edges,ok
2,31,4,1,session04_run01,495,393650,496,14875,2580,1,0,individual MRI TTL edges,ok
2,32,4,2,session04_run02,482,376900,483,7240,3345,1,0,individual MRI TTL edges,ok
2,33,4,3,session04_run03,487,384200,488,9472,4613,1,0,individual MRI TTL edges,ok
2,34,4,4,session04_run04,491,382700,492,6985,2560,1,0,individual MRI TTL edges,ok
2,35,4,5,session04_run05,482,376550,483,6737,3498,1,0,individual MRI TTL edges,ok
2,36,5,1,session05_run01,482,375700,483,6990,2395,1,0,individual MRI TTL edges,ok
2,37,5,2,session05_run02,493,393000,494,15196,3129,1,0,individual MRI TTL edges,ok
2,38,5,3,session05_run03,481,383600,482,14997,3049,1,0,individual MRI TTL edges,ok
2,39,5,4,session05_run04,514,412000,514,16675,4691,1,0,individual MRI TTL edges,ok
2,40,5,5,session05_run05,505,393000,506,6785,2421,1,0,individual MRI TTL edges,ok
2,41,6,1,session06_run01,497,387250,498,7218,2317,1,0,individual MRI TTL edges,ok
2,42,6,2,session06_run02,496,396200,497,16354,2891,1,0,individual MRI TTL edges,ok
2,43,6,3,session06_run03,491,382850,492,6855,2840,1,0,individual MRI TTL edges,ok
2,44,7,1,session07_run01,490,381500,491,6305,2800,1,0,individual MRI TTL edges,ok
2,45,7,2,session07_run02,485,385950,485,15418,1937,1,0,individual MRI TTL edges,ok
2,46,7,3,session07_run03,487,379100,488,6759,2226,1,0,individual MRI TTL edges,ok
2,47,7,4,session07_run04,473,368400,474,7178,1748,1,0,individual MRI TTL edges,ok
2,48,7,5,session07_run05,492,383800,493,7287,2598,1,0,individual MRI TTL edges,ok
2,49,8,1,session08_run01,487,379550,488,7365,2070,1,0,individual MRI TTL edges,ok
2,50,8,2,session08_run02,485,378850,486,6679,3576,1,0,individual MRI TTL edges,ok
2,51,8,3,session08_run03,495,385900,496,7641,2064,1,0,individual MRI TTL edges,ok
2,52,8,4,session08_run04,485,378900,486,6966,3339,1,0,individual MRI TTL edges,ok
2,53,8,5,session08_run05,490,383100,491,8061,2645,1,0,individual MRI TTL edges,ok
2,54,9,1,session09_run01,500,388000,501,6080,1925,1,0,individual MRI TTL edges,ok
2,55,9,2,session09_run02,480,375450,481,6793,3863,1,0,individual MRI TTL edges,ok
2,56,9,3,session09_run03,475,369750,476,6919,1836,1,0,individual MRI TTL edges,ok
2,57,9,4,session09_run04,499,388900,500,7036,2629,1,0,individual MRI TTL edges,ok
2,58,9,5,session09_run05,484,376850,484,6424,2592,1,0,individual MRI TTL edges,ok
2,59,10,1,session10_run01,478,373300,479,6790,3235,1,0,individual MRI TTL edges,ok
2,60,10,2,session10_run02,482,378700,483,7145,5240,1,0,individual MRI TTL edges,ok
2,61,10,3,session10_run03,480,372850,480,6114,1942,1,0,individual MRI TTL edges,ok
2,62,10,4,session10_run04,493,384050,494,6778,2598,1,0,individual MRI TTL edges,ok
2,63,10,5,session10_run05,485,378850,486,6755,3500,1,0,individual MRI TTL edges,ok
2,64,10,6,session10_run06,479,374650,480,7234,3382,1,0,individual MRI TTL edges,ok
2,65,11,1,session11_run01,499,388100,500,6639,2227,1,0,individual MRI TTL edges,ok
2,66,11,2,session11_run02,514,401500,514,6379,4487,1,0,individual MRI TTL edges,ok
2,67,11,3,session11_run03,507,395100,508,6577,3208,1,0,individual MRI TTL edges,ok
2,68,11,4,session11_run04,500,390050,501,6834,3221,1,0,individual MRI TTL edges,ok
2,69,11,5,session11_run05,501,401750,502,15408,5587,1,0,individual MRI TTL edges,ok
2,70,12,1,session12_run01,499,389100,500,7293,2572,1,0,individual MRI TTL edges,ok
2,71,12,2,session12_run02,498,398450,499,15056,4919,1,0,individual MRI TTL edges,ok
2,72,12,3,session12_run03,502,390400,503,6355,2531,1,0,individual MRI TTL edges,ok
2,73,12,4,session12_run04,500,389650,501,7250,2405,1,0,individual MRI TTL edges,ok
2,74,12,5,session12_run05,514,399000,514,6754,1612,1,0,individual MRI TTL edges,ok
2,75,12,6,session12_run06,503,391550,504,7602,1674,1,0,individual MRI TTL edges,ok
2,76,13,1,session13_run01,501,389600,502,7124,1721,1,0,individual MRI TTL edges,ok
2,77,13,2,session13_run02,514,409200,514,15745,2820,1,0,individual MRI TTL edges,ok
2,78,13,3,session13_run03,507,394900,508,7270,2316,1,0,individual MRI TTL edges,ok
2,79,13,4,session13_run04,514,402800,514,10338,1828,1,0,individual MRI TTL edges,ok
2,80,13,5,session13_run05,514,400900,514,7196,3070,1,0,individual MRI TTL edges,ok
3,1,1,1,session01_run01,489,396500,490,22474,2391,1,0,individual MRI TTL edges,ok
3,2,1,2,session01_run02,484,385400,485,15551,2014,1,0,individual MRI TTL edges,ok
3,3,1,3,session01_run03,480,375100,481,7715,2591,1,0,individual MRI TTL edges,ok
3,4,1,4,session01_run04,490,380250,491,5201,2654,1,0,individual MRI TTL edges,ok
3,5,1,5,session01_run05,498,389500,499,7030,3995,1,0,individual MRI TTL edges,ok
3,6,1,6,session01_run06,483,416350,484,46121,3154,1,0,individual MRI TTL edges,ok
3,7,1,7,session01_run07,487,379650,488,6670,2865,1,0,individual MRI TTL edges,ok
3,8,1,8,session01_run08,495,386400,496,8036,2169,1,0,individual MRI TTL edges,ok
3,9,1,9,session01_run09,485,390850,486,18632,3623,1,0,individual MRI TTL edges,ok
3,10,1,10,session01_run10,486,380050,487,7112,3584,1,0,individual MRI TTL edges,ok
3,11,2,1,session02_run01,473,385400,474,22512,3413,1,0,individual MRI TTL edges,ok
3,12,2,2,session02_run02,496,395250,497,15362,2933,1,0,individual MRI TTL edges,ok
3,13,2,3,session02_run03,495,389050,496,8908,3947,1,0,individual MRI TTL edges,ok
3,14,2,4,session02_run04,496,390650,497,7955,5740,1,0,individual MRI TTL edges,ok
3,15,2,5,session02_run05,488,383800,489,9698,3228,1,0,individual MRI TTL edges,ok
3,16,2,6,session02_run06,482,378550,483,8461,3774,1,0,individual MRI TTL edges,ok
3,17,2,7,session02_run07,475,371100,476,7269,2836,1,0,individual MRI TTL edges,ok
3,18,2,8,session02_run08,488,380350,489,6834,2641,1,0,individual MRI TTL edges,ok
3,19,3,1,session03_run01,483,376400,484,6494,2831,1,0,individual MRI TTL edges,ok
3,20,3,2,session03_run02,490,390000,491,15179,2426,1,0,individual MRI TTL edges,ok
3,21,3,3,session03_run03,498,387400,499,7098,1827,1,0,individual MRI TTL edges,ok
3,22,3,4,session03_run04,503,391500,504,6658,2567,1,0,individual MRI TTL edges,ok
3,23,3,5,session03_run05,490,383200,491,8050,2755,1,0,individual MRI TTL edges,ok
3,24,3,6,session03_run06,486,378550,487,6850,2345,1,0,individual MRI TTL edges,ok
3,25,3,7,session03_run07,482,377800,483,8434,3051,1,0,individual MRI TTL edges,ok
3,26,3,8,session03_run08,480,374950,481,7375,2780,1,0,individual MRI TTL edges,ok
3,27,4,1,session04_run01,485,378200,486,7216,2389,1,0,individual MRI TTL edges,ok
3,28,4,2,session04_run02,489,390650,490,15792,3223,1,0,individual MRI TTL edges,ok
3,29,4,3,session04_run03,485,382150,485,9789,3766,1,0,individual MRI TTL edges,ok
3,30,4,4,session04_run04,486,387700,487,15119,3226,1,0,individual MRI TTL edges,ok
3,31,4,5,session04_run05,490,381700,491,6684,2621,1,0,individual MRI TTL edges,ok
3,32,4,6,session04_run06,495,387000,496,8373,2432,1,0,individual MRI TTL edges,ok
3,33,4,7,session04_run07,504,394400,505,8421,2945,1,0,individual MRI TTL edges,ok
3,34,4,8,session04_run08,496,387150,497,7021,3174,1,0,individual MRI TTL edges,ok
3,35,5,1,session05_run01,477,376300,478,9551,4234,1,0,individual MRI TTL edges,ok
3,36,5,2,session05_run02,503,390050,504,5041,2734,1,0,individual MRI TTL edges,ok
3,37,5,3,session05_run03,486,380750,487,8133,3262,1,0,individual MRI TTL edges,ok
3,38,5,4,session05_run04,481,378650,482,8645,4451,1,0,individual MRI TTL edges,ok
3,39,5,5,session05_run05,501,390750,502,7723,2273,1,0,individual MRI TTL edges,ok
3,40,5,6,session05_run06,494,385000,495,7923,1642,1,0,individual MRI TTL edges,ok
3,41,5,7,session05_run07,472,368500,473,7040,2745,1,0,individual MRI TTL edges,ok
3,42,5,8,session05_run08,477,374850,478,7186,5149,1,0,individual MRI TTL edges,ok
3,43,6,1,session06_run01,483,379150,484,8615,3460,1,0,individual MRI TTL edges,ok
3,44,6,2,session06_run02,514,412250,514,15206,6409,1,0,individual MRI TTL edges,ok
3,45,6,3,session06_run03,485,378700,485,7586,2519,1,0,individual MRI TTL edges,ok
3,46,6,4,session06_run04,484,379050,485,7485,3730,1,0,individual MRI TTL edges,ok
3,47,6,5,session06_run05,502,392600,503,7226,3860,1,0,individual MRI TTL edges,ok
3,48,6,6,session06_run06,495,387200,496,7415,3591,1,0,individual MRI TTL edges,ok
3,49,7,1,session07_run01,497,394550,498,13244,3591,1,0,individual MRI TTL edges,ok
3,50,7,2,session07_run02,514,425350,514,15828,18887,1,0,individual MRI TTL edges,ok
3,51,7,3,session07_run03,488,380300,489,6484,2941,1,0,individual MRI TTL edges,ok
3,52,7,4,session07_run04,481,376150,482,7026,3569,1,0,individual MRI TTL edges,ok
3,53,7,5,session07_run05,514,401350,514,6739,3977,1,0,individual MRI TTL edges,ok
3,54,7,6,session07_run06,488,380100,489,7231,1994,1,0,individual MRI TTL edges,ok
3,55,7,7,session07_run07,498,388250,499,7230,2545,1,0,individual MRI TTL edges,ok
3,56,7,8,session07_run08,489,381800,490,7340,2825,1,0,individual MRI TTL edges,ok
3,57,8,1,session08_run01,487,382900,488,10645,2141,1,0,individual MRI TTL edges,ok
3,58,8,2,session08_run02,483,385150,484,15577,2498,1,0,individual MRI TTL edges,ok
3,59,8,3,session08_run03,491,381750,491,7141,1455,1,0,individual MRI TTL edges,ok
